epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.5496,1.77055,2.94423,1.47065,0.0074,0.81875,0.27027,0.13772,1.3393,2.91287,1.12873,0.00028,0.00028,0.00028
2,142.643,1.55981,1.80284,1.27988,0.47017,0.30625,0.29803,0.18741,1.31293,2.68932,1.1406,0.00054172,0.00054172,0.00054172
3,200.593,1.54684,1.65459,1.2942,0.86592,0.1625,0.34069,0.1963,1.48662,2.54843,1.2469,0.00076384,0.00076384,0.00076384
4,348.998,1.53737,1.60512,1.32154,0.84077,0.23102,0.36447,0.18303,1.55349,2.54244,1.40211,0.00094636,0.00094636,0.00094636
5,408.371,1.57114,1.54926,1.31012,0.56877,0.44375,0.48558,0.2578,1.48235,2.14308,1.25924,0.00108928,0.00108928,0.00108928
6,476.227,1.49099,1.77894,1.27971,0.48361,0.32195,0.32695,0.17592,1.61099,2.32114,1.32661,0.0011926,0.0011926,0.0011926
7,536.797,1.49687,1.68573,1.25951,0.51149,0.3,0.35301,0.1691,1.59676,2.2123,1.46023,0.001208,0.001208,0.001208
8,595.209,1.48118,1.5974,1.24013,0.52598,0.52708,0.50408,0.29199,1.41523,1.80629,1.34741,0.001076,0.001076,0.001076
9,654.429,1.42622,1.46638,1.24635,0.58098,0.44375,0.5065,0.29055,1.42321,1.80881,1.31175,0.000944,0.000944,0.000944
10,714.471,1.43438,1.44649,1.24241,0.68911,0.58186,0.64638,0.37284,1.41066,1.50917,1.3011,0.000812,0.000812,0.000812
11,776.762,1.34962,1.3567,1.19062,0.75719,0.6,0.69732,0.39938,1.35596,1.41089,1.26576,0.00068,0.00068,0.00068
12,834.507,1.31014,1.28533,1.19341,0.78634,0.575,0.70342,0.42023,1.31989,1.4179,1.25038,0.000548,0.000548,0.000548
13,892.756,1.32608,1.27931,1.16215,0.75391,0.675,0.73441,0.45326,1.27717,1.35303,1.19564,0.000416,0.000416,0.000416
14,967.018,1.29587,1.22556,1.14085,0.82091,0.63125,0.73657,0.4567,1.27632,1.31749,1.20306,0.000284,0.000284,0.000284
15,1025.1,1.21188,1.18206,1.09888,0.84799,0.6125,0.75064,0.46446,1.26973,1.26738,1.18987,0.000152,0.000152,0.000152
