epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.6086,2.38285,3.71026,1.52808,0.00763,0.84314,0.02228,0.0093,0.8752,28.6732,0.51735,0.00012,0.00012,0.00012
2,60.8996,2.10766,2.94352,1.23369,0.00974,0.9281,0.02782,0.01141,0.85829,29.0249,0.51999,0.00025142,0.00025142,0.00025142
3,88.8389,2.01371,1.93002,1.20775,0.00942,0.97386,0.0383,0.01545,0.82816,27.9219,0.52078,0.0003736,0.0003736,0.0003736
4,124.219,1.97159,1.79426,1.16669,0.01039,0.97386,0.04056,0.01506,0.8188,26.3187,0.53825,0.00048654,0.00048654,0.00048654
5,157.156,1.97773,1.82404,1.16433,0.01071,0.95425,0.03429,0.01466,0.77838,23.9201,0.53008,0.00059024,0.00059024,0.00059024
6,185.741,1.88726,1.61522,1.13917,0.01062,0.9281,0.05009,0.02076,0.78551,22.9127,0.54025,0.0006847,0.0006847,0.0006847
7,216.029,1.90059,1.75131,1.12859,0.01003,0.90196,0.10254,0.04036,0.88621,23.256,0.56685,0.00076992,0.00076992,0.00076992
8,245.176,1.86863,1.733,1.15206,0.00952,0.9281,0.20375,0.07701,0.88492,24.7868,0.55687,0.0008459,0.0008459,0.0008459
9,273.336,1.80854,1.86071,1.1721,0.00908,0.93464,0.20743,0.09181,0.83801,23.0977,0.53291,0.00091264,0.00091264,0.00091264
10,300.229,1.77955,1.73178,1.14704,0.00838,0.9281,0.24187,0.10586,0.7881,22.7484,0.51595,0.00097014,0.00097014,0.00097014
11,327.625,1.77452,1.62901,1.13569,0.00859,0.95425,0.19769,0.08754,0.80555,21.3443,0.52183,0.0010184,0.0010184,0.0010184
12,355.123,1.79167,1.5671,1.19775,0.43616,0.22753,0.29115,0.13439,0.83829,26.3336,0.54088,0.00105742,0.00105742,0.00105742
13,382.596,1.82214,1.62479,1.16454,0.36255,0.39869,0.31084,0.14887,0.83545,32.919,0.54534,0.0010872,0.0010872,0.0010872
14,410.212,1.72301,1.57909,1.10137,0.34342,0.60131,0.34441,0.17511,0.77617,42.414,0.51123,0.00110774,0.00110774,0.00110774
15,437.223,1.81351,1.56923,1.12594,0.35891,0.54248,0.36247,0.16641,0.84257,42.9724,0.53659,0.001076,0.001076,0.001076
16,467.553,1.71605,1.62567,1.09621,0.35982,0.47059,0.30786,0.1259,0.89923,44.3017,0.56596,0.00101,0.00101,0.00101
17,495.707,1.76714,1.53006,1.12935,0.3391,0.4902,0.31542,0.13393,0.88446,48.5053,0.56258,0.000944,0.000944,0.000944
18,524.704,1.71115,1.45264,1.11632,0.33006,0.53133,0.33207,0.15501,0.85376,56.7162,0.55022,0.000878,0.000878,0.000878
19,552.679,1.65778,1.46964,1.08094,0.36767,0.47059,0.33831,0.16319,0.83843,45.1748,0.54308,0.000812,0.000812,0.000812
20,580.2,1.72164,1.45439,1.10692,0.35395,0.44761,0.30964,0.15628,0.81255,33.9959,0.53164,0.000746,0.000746,0.000746
21,612.969,1.76895,1.80814,1.17285,0.34802,0.47059,0.30237,0.15167,0.80485,33.2437,0.52732,0.00068,0.00068,0.00068
22,640.929,1.68423,1.61445,1.117,0.34359,0.44444,0.28414,0.11802,0.89224,37.6472,0.56104,0.000614,0.000614,0.000614
23,667.614,1.75046,1.58672,1.12074,0.32192,0.52941,0.32159,0.15538,0.82902,48.5689,0.54101,0.000548,0.000548,0.000548
24,694.49,1.6572,1.47967,1.10478,0.34599,0.54248,0.3566,0.18246,0.79606,48.6438,0.52775,0.000482,0.000482,0.000482
25,719.948,1.73619,1.47153,1.13416,0.35861,0.56209,0.37011,0.19733,0.77866,48.5494,0.52197,0.000416,0.000416,0.000416
26,744.722,1.66582,1.47789,1.11525,0.37811,0.4902,0.3564,0.18848,0.77937,40.0994,0.52209,0.00035,0.00035,0.00035
27,768.778,1.79015,1.49343,1.112,0.36209,0.5098,0.3386,0.1829,0.76456,48.9831,0.52,0.000284,0.000284,0.000284
28,795.564,1.648,1.38921,1.107,0.33644,0.49377,0.32481,0.17651,0.76229,62.0781,0.52232,0.000218,0.000218,0.000218
29,822.879,1.64738,1.44169,1.08329,0.33607,0.5161,0.32935,0.17634,0.76284,66.0137,0.52333,0.000152,0.000152,0.000152
30,848.809,1.66511,1.44653,1.13911,0.32737,0.54902,0.33352,0.17997,0.76324,70.8817,0.524,8.6e-05,8.6e-05,8.6e-05
